No,Type,MDEA,DEA,MEA,PZ,Total,pH,Conductivity,Temperature,Corrosion rate
1,Lean,25,0,0,0,25,8.44,2.48,80,0.01541
2,Lean,20,5,0,0,25,8.54,2.71,80,0.02296
3,Lean,15,10,0,0,25,8.59,2.85,80,0.02785
4,Lean,30,0,0,0,30,8.46,2.57,80,0.01706
5,Lean,25,5,0,0,30,8.7,2.91,80,0.03056
6,Lean,20,10,0,0,30,8.77,3.08,80,0.03603
7,Lean,35,0,0,0,35,8.5,2.64,80,0.01886
8,Lean,30,5,0,0,35,8.86,3.02,80,0.03863
9,Lean,25,10,0,0,35,8.98,3.13,80,0.04767
10,Lean,20,15,0,0,35,9.2,3.28,80,0.05543
11,Lean,40,0,0,0,40,8.62,2.78,80,0.02072
12,Lean,35,5,0,0,40,9.15,3.2,80,0.04942
13,Lean,30,10,0,0,40,9.34,3.42,80,0.06196
14,Lean,25,15,0,0,40,9.66,3.49,80,0.06797
15,Lean,45,0,0,0,45,8.83,2.96,80,0.02529
16,Lean,40,5,0,0,45,9.45,3.34,80,0.06504
17,Lean,35,10,0,0,45,9.78,3.56,80,0.05867
18,Lean,30,15,0,0,45,10.03,3.64,80,0.0524
19,Lean,25,20,0,0,45,10.29,3.81,80,0.04118
20,Lean,25,0,0,0,25,8.44,2.48,80,0.01541
21,Lean,20,0,5,0,25,9.06,3.74,80,0.04283
22,Lean,15,0,10,0,25,9.53,3.16,80,0.07025
23,Lean,30,0,0,0,30,8.46,2.57,80,0.01706
24,Lean,25,0,5,0,30,9.22,3.08,80,0.05288
25,Lean,20,0,10,0,30,9.47,3.33,80,0.05875
26,Lean,35,0,0,0,35,8.5,2.64,80,0.01886
27,Lean,30,0,5,0,35,9.48,3.23,80,0.06277
28,Lean,25,0,10,0,35,9.79,3.41,80,0.07408
29,Lean,20,0,15,0,35,10.21,3.64,80,0.04987
30,Lean,40,0,0,0,40,8.62,2.78,80,0.02072
31,Lean,35,0,5,0,40,9.97,3.49,80,0.06692
32,Lean,30,0,10,0,40,10.27,3.76,80,0.04658
33,Lean,25,0,15,0,40,10.72,3.87,80,0.03819
34,Lean,45,0,0,0,45,8.83,2.96,80,0.02529
35,Lean,40,0,5,0,45,10.11,3.57,80,0.05606
36,Lean,35,0,10,0,45,10.66,3.88,80,0.04056
37,Lean,30,0,15,0,45,11.03,4,80,0.03532
38,Lean,25,0,20,0,45,11.52,4.27,80,0.02681
39,Lean,25,0,0,0,25,8.44,2.48,80,0.01541
40,Lean,20,0,0,5,25,9.33,3.85,80,0.06
41,Lean,15,0,0,10,25,9.92,3.29,80,0.07227
42,Lean,30,0,0,0,30,8.46,2.57,80,0.01706
43,Lean,25,0,0,5,30,9.5,3.18,80,0.06717
44,Lean,20,0,0,10,30,9.85,3.46,80,0.07588
45,Lean,35,0,0,0,35,8.5,2.64,80,0.01886
46,Lean,30,0,0,5,35,9.86,3.36,80,0.08077
47,Lean,25,0,0,10,35,10.28,3.58,80,0.06228
48,Lean,20,0,0,15,35,10.82,3.86,80,0.04937
49,Lean,40,0,0,0,40,8.62,2.78,80,0.02072
50,Lean,35,0,0,5,40,10.57,3.7,80,0.055
51,Lean,30,0,0,10,40,10.89,3.99,80,0.04453
52,Lean,25,0,0,15,40,11.42,4.13,80,0.04049
53,Lean,45,0,0,0,45,8.83,2.96,80,0.02529
54,Lean,40,0,0,5,45,10.7,3.78,80,0.05335
55,Lean,35,0,0,10,45,11.24,4.09,80,0.04262
56,Lean,30,0,0,15,45,11.63,4.22,80,0.03741
57,Lean,25,0,0,20,45,11.65,2.96,80,0.02843
58,Rich,25,0,0,0,25,7.7,13.54,80,0.1074
59,Rich,20,5,0,0,25,7.78,12.68,80,0.1472
60,Rich,15,10,0,0,25,7.85,12.25,80,0.14353
61,Rich,30,0,0,0,30,7.75,13.28,80,0.09927
62,Rich,25,5,0,0,30,7.94,11.81,80,0.14879
63,Rich,20,10,0,0,30,8.01,11.35,80,0.13816
64,Rich,35,0,0,0,35,7.77,13.44,80,0.08157
65,Rich,30,5,0,0,35,8.1,11.59,80,0.13434
66,Rich,25,10,0,0,35,8.22,11.21,80,0.12536
67,Rich,20,15,0,0,35,8.4,10.55,80,0.11643
68,Rich,40,0,0,0,40,7.89,12.92,80,0.07317
69,Rich,35,5,0,0,40,8.35,10.98,80,0.12095
70,Rich,30,10,0,0,40,8.5,10.35,80,0.1117
71,Rich,25,15,0,0,40,8.78,8.69,80,0.1033
72,Rich,45,0,0,0,45,8.09,12.29,80,0.06159
73,Rich,40,5,0,0,45,8.69,9.51,80,0.09055
74,Rich,35,10,0,0,45,8.92,8.09,80,0.08603
75,Rich,30,15,0,0,45,9.16,7.74,80,0.07721
76,Rich,25,20,0,0,45,9.42,6.95,80,0.06536
